年,州,国籍・地域,罪種00,罪種01,罪種02,検挙人員
2018,アジア州の国,韓国・朝鮮,凶悪犯,殺人,,2
2018,アジア州の国,中国,凶悪犯,殺人,,13
2018,アジア州の国,イラン,凶悪犯,殺人,,0
2018,アジア州の国,インド,凶悪犯,殺人,,0
2018,アジア州の国,インドネシア,凶悪犯,殺人,,0
2018,アジア州の国,スリランカ,凶悪犯,殺人,,0
2018,アジア州の国,タイ,凶悪犯,殺人,,1
2018,アジア州の国,パキスタン,凶悪犯,殺人,,0
2018,アジア州の国,バングラデシュ,凶悪犯,殺人,,0
2018,アジア州の国,フィリピン,凶悪犯,殺人,,3
2018,アジア州の国,ベトナム,凶悪犯,殺人,,10
2018,アジア州の国,マレーシア,凶悪犯,殺人,,0
2018,アジア州の国,その他,凶悪犯,殺人,,6
2018,ヨーロッパ州の国,イギリス,凶悪犯,殺人,,0
2018,ヨーロッパ州の国,イタリア,凶悪犯,殺人,,0
2018,ヨーロッパ州の国,ロシア,凶悪犯,殺人,,0
2018,ヨーロッパ州の国,ドイツ,凶悪犯,殺人,,0
2018,ヨーロッパ州の国,フランス,凶悪犯,殺人,,0
2018,ヨーロッパ州の国,その他,凶悪犯,殺人,,0
2018,南北アメリカ州の国,アメリカ,凶悪犯,殺人,,1
2018,南北アメリカ州の国,カナダ,凶悪犯,殺人,,0
2018,南北アメリカ州の国,ブラジル,凶悪犯,殺人,,1
2018,南北アメリカ州の国,その他,凶悪犯,殺人,,1
2018,アフリカ州の国,,凶悪犯,殺人,,0
2018,オセアニア州の国,,凶悪犯,殺人,,0
2018,無国籍,,凶悪犯,殺人,,0
2018,国籍不明,,凶悪犯,殺人,,0
2018,アジア州の国,韓国・朝鮮,凶悪犯,強盗,,3
2018,アジア州の国,中国,凶悪犯,強盗,,29
2018,アジア州の国,イラン,凶悪犯,強盗,,0
2018,アジア州の国,インド,凶悪犯,強盗,,5
2018,アジア州の国,インドネシア,凶悪犯,強盗,,0
2018,アジア州の国,スリランカ,凶悪犯,強盗,,7
2018,アジア州の国,タイ,凶悪犯,強盗,,0
2018,アジア州の国,パキスタン,凶悪犯,強盗,,3
2018,アジア州の国,バングラデシュ,凶悪犯,強盗,,0
2018,アジア州の国,フィリピン,凶悪犯,強盗,,1
2018,アジア州の国,ベトナム,凶悪犯,強盗,,16
2018,アジア州の国,マレーシア,凶悪犯,強盗,,0
2018,アジア州の国,その他,凶悪犯,強盗,,5
2018,ヨーロッパ州の国,イギリス,凶悪犯,強盗,,0
2018,ヨーロッパ州の国,イタリア,凶悪犯,強盗,,0
2018,ヨーロッパ州の国,ロシア,凶悪犯,強盗,,0
2018,ヨーロッパ州の国,ドイツ,凶悪犯,強盗,,0
2018,ヨーロッパ州の国,フランス,凶悪犯,強盗,,0
2018,ヨーロッパ州の国,その他,凶悪犯,強盗,,3
2018,南北アメリカ州の国,アメリカ,凶悪犯,強盗,,2
2018,南北アメリカ州の国,カナダ,凶悪犯,強盗,,0
2018,南北アメリカ州の国,ブラジル,凶悪犯,強盗,,12
2018,南北アメリカ州の国,その他,凶悪犯,強盗,,6
2018,アフリカ州の国,,凶悪犯,強盗,,1
2018,オセアニア州の国,,凶悪犯,強盗,,2
2018,無国籍,,凶悪犯,強盗,,0
2018,国籍不明,,凶悪犯,強盗,,0
2018,アジア州の国,韓国・朝鮮,凶悪犯,放火,,1
2018,アジア州の国,中国,凶悪犯,放火,,2
2018,アジア州の国,イラン,凶悪犯,放火,,0
2018,アジア州の国,インド,凶悪犯,放火,,0
2018,アジア州の国,インドネシア,凶悪犯,放火,,0
2018,アジア州の国,スリランカ,凶悪犯,放火,,0
2018,アジア州の国,タイ,凶悪犯,放火,,1
2018,アジア州の国,パキスタン,凶悪犯,放火,,0
2018,アジア州の国,バングラデシュ,凶悪犯,放火,,0
2018,アジア州の国,フィリピン,凶悪犯,放火,,0
2018,アジア州の国,ベトナム,凶悪犯,放火,,0
2018,アジア州の国,マレーシア,凶悪犯,放火,,0
2018,アジア州の国,その他,凶悪犯,放火,,0
2018,ヨーロッパ州の国,イギリス,凶悪犯,放火,,0
2018,ヨーロッパ州の国,イタリア,凶悪犯,放火,,0
2018,ヨーロッパ州の国,ロシア,凶悪犯,放火,,0
2018,ヨーロッパ州の国,ドイツ,凶悪犯,放火,,0
2018,ヨーロッパ州の国,フランス,凶悪犯,放火,,0
2018,ヨーロッパ州の国,その他,凶悪犯,放火,,0
2018,南北アメリカ州の国,アメリカ,凶悪犯,放火,,0
2018,南北アメリカ州の国,カナダ,凶悪犯,放火,,0
2018,南北アメリカ州の国,ブラジル,凶悪犯,放火,,0
2018,南北アメリカ州の国,その他,凶悪犯,放火,,0
2018,アフリカ州の国,,凶悪犯,放火,,0
2018,オセアニア州の国,,凶悪犯,放火,,0
2018,無国籍,,凶悪犯,放火,,0
2018,国籍不明,,凶悪犯,放火,,0
2018,アジア州の国,韓国・朝鮮,凶悪犯,強制性交等,,2
2018,アジア州の国,中国,凶悪犯,強制性交等,,7
2018,アジア州の国,イラン,凶悪犯,強制性交等,,0
2018,アジア州の国,インド,凶悪犯,強制性交等,,1
2018,アジア州の国,インドネシア,凶悪犯,強制性交等,,1
2018,アジア州の国,スリランカ,凶悪犯,強制性交等,,0
2018,アジア州の国,タイ,凶悪犯,強制性交等,,0
2018,アジア州の国,パキスタン,凶悪犯,強制性交等,,1
2018,アジア州の国,バングラデシュ,凶悪犯,強制性交等,,1
2018,アジア州の国,フィリピン,凶悪犯,強制性交等,,1
2018,アジア州の国,ベトナム,凶悪犯,強制性交等,,1
2018,アジア州の国,マレーシア,凶悪犯,強制性交等,,0
2018,アジア州の国,その他,凶悪犯,強制性交等,,7
